Date,Predicted_Value,Lower_CI,Upper_CI
2026-01-01,243.9313119506836,215.59664918942974,272.2659747119375
2026-01-02,242.46845840454102,202.3971940423079,282.53972276677416
2026-01-03,242.60558364868163,193.52850813086008,291.6826591665032
2026-01-04,249.21127227783202,192.54194675532426,305.8805978003398
2026-01-05,251.52886291503907,188.1706308613435,314.88709496873463
2026-01-06,251.60408157348633,182.19861577457448,321.0095473723982
2026-01-07,251.54466064453126,176.5781894953708,326.51113179369173
2026-01-08,251.32257995605468,171.18005123158844,331.4651086805209
2026-01-09,251.47580108642578,166.47181280266415,336.4797893701874
2026-01-10,251.83083251953124,162.22876146121322,341.4329035778493
2026-01-11,252.6088607788086,158.63341583847404,346.5843057191432
2026-01-12,252.59663940429687,154.44248836865376,350.75079043994
2026-01-13,252.55122955322267,150.38915009454178,354.71330901190356
2026-01-14,252.45812438964845,146.43952416725438,358.4767246120425
2026-01-15,253.01635681152345,143.2766798167837,362.7560338062632
2026-01-16,253.20992004394532,139.87126899892982,366.5485710889608
2026-01-17,253.20992004394532,136.38311261304023,370.0367274748504
2026-01-18,253.18716537475586,132.9733722880565,373.4009584614552
2026-01-19,253.01337646484376,129.505444889233,376.5213080404545
2026-01-20,252.9806852722168,126.26422116482567,379.69714937960794
2026-01-21,252.7738067626953,122.92806986820298,382.6195436571876
2026-01-22,251.80887283325194,118.9075240685847,384.71022159791914
2026-01-23,251.1291181945801,115.24084932172374,387.0173870674364
2026-01-24,248.23670471191406,109.42577311409039,387.04763630973775
2026-01-25,246.09568359375,104.42236978748065,387.7689974000194
2026-01-26,245.68679779052735,101.20779945982304,390.16579612123166
2026-01-27,245.02323806762695,97.79201151416225,392.25446462109164
2026-01-28,244.7406428527832,94.80770055446226,394.67358515110413
2026-01-29,244.4941146850586,91.90728596112967,397.08094340898754
2026-01-30,244.42465789794923,89.22931836154558,399.61999743435285
2026-01-31,244.22473556518554,86.46401001026933,401.9854611201017
2026-02-01,242.7722166442871,82.48715919535462,403.0572740932196
2026-02-02,242.50303649902344,79.73279119847237,405.27328179957453
2026-02-03,242.13300003051756,76.91494451298172,407.3510555480534
2026-02-04,242.13598083496095,74.50585531216134,409.7661063577606
2026-02-05,242.2194480895996,72.21147152207635,412.22742465712287
2026-02-06,242.21388320922853,69.86085825643718,414.5669081620199
2026-02-07,242.2024562072754,67.53586431239842,416.86904810215236
2026-02-08,242.3494172668457,65.39950503752164,419.2993294961698
2026-02-09,243.26705581665038,64.06291370001435,422.4711979332864
2026-02-10,243.08313034057616,61.65276445450553,424.5134962266468
2026-02-11,243.1681867980957,59.53858466557605,426.7977889306153
2026-02-12,243.33432510375977,57.53151594000832,429.1371342675112
2026-02-13,243.40636444091797,55.4554745602488,431.3572543215871
2026-02-14,243.40636444091797,53.33166827983129,433.4810606020046
2026-02-15,243.55014541625977,51.37511260886461,435.7251782236549
2026-02-16,243.82230758666992,49.56964647666766,438.07496869667216
2026-02-17,243.51099685668945,47.202694785403196,439.8192989279757
2026-02-18,243.4938056945801,45.151166365802965,441.8364450233572
2026-02-19,243.4284228515625,43.07210104039689,443.7847446627281
2026-02-20,243.49499725341798,41.14503109702511,445.8449634098108
2026-02-21,243.39394271850585,39.06978380114404,447.7181016358677
2026-02-22,243.39394271850585,37.11448414087309,449.67340129613865
2026-02-23,243.5831349182129,35.36673752147735,451.79953231494846
2026-02-24,243.31325912475586,33.17777602237905,453.4487422271327
2026-02-25,243.22084869384764,31.183648249059473,455.2580491386358
2026-02-26,243.31991577148438,29.397903144786085,457.24192839818267
2026-02-27,243.38649017333984,27.596127552458995,459.1768527942207
2026-02-28,243.38649017333984,25.74381578744365,461.02916455923605
2026-03-01,242.1883464050293,22.708992415549858,461.66770039450876
2026-03-02,242.53334259033204,21.232551942324648,463.8341332383394
2026-03-03,242.17910507202149,19.07174738243924,465.28646276160373
2026-03-04,242.17592514038085,17.276511692899447,467.07533858786223
2026-03-05,242.2694285583496,15.592126468318611,468.9467306483806
2026-03-06,242.26386367797852,13.822509285633117,470.7052180703239
2026-03-07,242.26068405151366,12.068795596678768,472.4525725063486
2026-03-08,242.3716748046875,10.442464431787016,474.300885177588
2026-03-09,243.28027084350586,9.626655981695706,476.933885705316
2026-03-10,243.09634536743164,7.730959527064044,478.46173120779923
2026-03-11,243.18140182495117,6.116604848303666,480.24619880159867
2026-03-12,243.34495681762695,4.592844618859004,482.0970690163949
2026-03-13,243.41699615478515,2.9894099813864727,483.84458232818383
2026-03-14,243.41699615478515,1.3255314003228875,485.50846090924745
2026-03-15,243.55074111938475,-0.19324428488124568,487.29472652365075
2026-03-16,243.8355226135254,-1.5498549755824627,489.2209002026333
2026-03-17,243.51417587280272,-3.501687278418842,490.5300390240243
2026-03-18,243.49698471069337,-5.138671948075114,492.13264136946185
2026-03-19,243.42295761108397,-6.822008124354937,493.6679233465229
2026-03-20,243.48953201293946,-8.35445935815713,495.3335233840361
2026-03-21,243.39851348876954,-10.034414726012699,496.8314417035518
2026-03-22,243.39851348876954,-11.61345136251532,498.4104783400544
2026-03-23,243.58402923583984,-12.997254826554212,500.16531329823385
2026-03-24,243.31584243774415,-14.825220636112647,501.45690551160095
2026-03-25,243.22084869384764,-16.470625095136995,502.9123224828323
2026-03-26,243.31991577148438,-17.912767238296965,504.5525987812657
2026-03-27,243.38649017333984,-19.37836247305745,506.1513428197371
2026-03-28,243.38649017333984,-20.90164974231527,507.67463008899495
2026-03-29,243.38649017333984,-22.41620735599463,509.1891877026743
2026-03-30,243.57200592041016,-23.736667952445714,510.88067979326604
2026-03-31,243.31584243774415,-25.4903707372099,512.1220556126982
